total_games_played,cumulative_points
1695,15328.001927188749
1696,15337.120235139922
1697,15346.238543091096
1698,15355.35685104227
1699,15364.475158993444
1700,15373.593466944618
1701,15382.711774895792
1702,15391.830082846966
1703,15400.94839079814
1704,15410.066698749313
1705,15419.185006700485
1706,15428.30331465166
1707,15437.421622602833
1708,15446.539930554007
1709,15455.65823850518
1710,15464.776546456354
1711,15473.894854407528
1712,15483.013162358702
1713,15492.131470309876
1714,15501.24977826105
1715,15510.368086212224
1716,15519.486394163398
1717,15528.604702114571
1718,15537.723010065745
1719,15546.841318016917
1720,15555.959625968091
1721,15565.077933919265
1722,15574.196241870439
1723,15583.314549821613
1724,15592.432857772787
1725,15601.55116572396
1726,15610.669473675134
1727,15619.787781626308
1728,15628.906089577482
1729,15638.024397528656
1730,15647.14270547983
1731,15656.261013431003
1732,15665.379321382177
1733,15674.497629333351
1734,15683.615937284523
1735,15692.734245235697
1736,15701.85255318687
1737,15710.970861138045
1738,15720.089169089219
1739,15729.207477040392
1740,15738.325784991566
1741,15747.44409294274
1742,15756.562400893914
1743,15765.680708845088
1744,15774.799016796262
1745,15783.917324747435
1746,15793.03563269861
1747,15802.153940649783
1748,15811.272248600957
1749,15820.390556552129
1750,15829.508864503303
1751,15838.627172454477
1752,15847.74548040565
1753,15856.863788356824
1754,15865.982096307998
1755,15875.100404259172
1756,15884.218712210346
1757,15893.33702016152
1758,15902.455328112694
1759,15911.573636063868
1760,15920.691944015041
1761,15929.810251966215
1762,15938.928559917389
1763,15948.046867868561
1764,15957.165175819735
1765,15966.283483770909
1766,15975.401791722083
1767,15984.520099673256
1768,15993.63840762443
1769,16002.756715575604
1770,16011.875023526778
1771,16020.993331477952
1772,16030.111639429126
1773,16039.2299473803
1774,16048.348255331473
1775,16057.466563282647
1776,16066.584871233821
1777,16075.703179184995
1778,16084.821487136167
1779,16093.93979508734
1780,16103.058103038515
1781,16112.176410989689
1782,16121.294718940862
1783,16130.413026892036
1784,16139.53133484321
1785,16148.649642794384
1786,16157.767950745558
1787,16166.886258696732
1788,16176.004566647905
1789,16185.12287459908
1790,16194.241182550253
1791,16203.359490501427
1792,16212.4777984526
1793,16221.596106403773
1794,16230.714414354947
1795,16239.83272230612
1796,16248.951030257294
1797,16258.069338208468
1798,16267.187646159644
1799,16276.305954110816
1800,16285.424262061988
1801,16294.542570013164
1802,16303.660877964336
1803,16312.779185915511
1804,16321.897493866683
1805,16331.015801817859
1806,16340.134109769031
1807,16349.252417720207
1808,16358.370725671379
1809,16367.489033622554
1810,16376.607341573726
1811,16385.725649524902
1812,16394.843957476074
1813,16403.96226542725
1814,16413.080573378422
1815,16422.198881329594
1816,16431.31718928077
1817,16440.43549723194
1818,16449.553805183117
1819,16458.67211313429
1820,16467.790421085465
1821,16476.908729036637
1822,16486.027036987813
1823,16495.145344938985
1824,16504.26365289016
1825,16513.381960841332
1826,16522.500268792508
1827,16531.61857674368
1828,16540.736884694856
1829,16549.855192646028
1830,16558.9735005972
1831,16568.091808548375
1832,16577.210116499547
1833,16586.328424450723
1834,16595.446732401895
1835,16604.56504035307
1836,16613.683348304243
1837,16622.80165625542
1838,16631.91996420659
1839,16641.038272157766
1840,16650.15658010894
1841,16659.274888060114
1842,16668.393196011286
1843,16677.51150396246
1844,16686.629811913634
1845,16695.748119864806
1846,16704.86642781598
1847,16713.984735767153
1848,16723.10304371833
1849,16732.2213516695
1850,16741.339659620677
1851,16750.45796757185
1852,16759.576275523024
1853,16768.694583474196
1854,16777.812891425372
1855,16786.931199376544
1856,16796.04950732772
1857,16805.16781527889
1858,16814.286123230064
1859,16823.40443118124
1860,16832.52273913241
1861,16841.641047083587
1862,16850.75935503476
