year,game_number,date,points
2022,42,2022-02-25,2
2022,43,2022-02-28,11
2022,44,2022-03-01,10
2022,45,2022-03-04,7
2022,46,2022-03-07,6
2022,47,2022-03-11,9
2022,48,2022-03-14,20
2022,49,2022-03-16,18
2022,50,2022-03-19,3
2022,51,2022-03-21,8
2022,52,2022-03-23,9
2022,53,2022-03-25,10
2022,54,2022-03-27,7
2022,55,2022-03-30,10
2022,56,2022-04-01,9
2022,57,2022-04-07,8
2022,58,2022-04-10,5
2023,1,2022-10-18,3
2023,2,2022-10-20,5
2023,3,2022-10-23,7
2023,4,2022-10-26,6
2023,5,2022-10-28,6
2023,6,2022-10-30,5
2023,7,2022-11-02,0
2023,8,2022-11-04,5
2023,9,2022-11-09,7
2023,10,2022-11-11,5
2023,11,2022-11-13,2
2023,12,2022-11-18,4
2023,13,2022-11-20,3
2023,14,2022-11-22,0
2023,15,2022-11-30,5
2023,16,2022-12-02,7
2023,17,2022-12-04,1
2023,18,2022-12-06,5
2023,19,2022-12-09,9
2023,20,2022-12-11,5
2023,21,2022-12-13,6
2023,22,2022-12-16,10
2023,23,2022-12-19,9
2023,24,2022-12-21,13
2023,25,2022-12-23,11
2023,26,2022-12-25,8
2023,27,2022-12-27,14
2023,28,2022-12-28,6
2023,29,2022-12-30,10
2023,30,2023-01-02,6
2023,31,2023-01-04,4
2023,32,2023-01-06,5
2023,33,2023-01-07,6
