year,game_number,date,points
2018,47,2018-02-08,24
2018,48,2018-02-10,10
2018,49,2018-02-12,17
2018,50,2018-02-14,50
2018,51,2018-02-22,24
2018,52,2018-02-24,28
2018,53,2018-02-26,22
2018,54,2018-02-28,32
2018,55,2018-03-02,28
2018,56,2018-03-06,19
2018,57,2018-03-08,37
2018,58,2018-03-09,40
2018,59,2018-03-11,39
2018,60,2018-03-14,26
2018,61,2018-03-29,10
2018,62,2018-03-31,27
2018,63,2018-04-01,29
2018,64,2018-04-03,34
2018,65,2018-04-05,27
2018,66,2018-04-07,41
2018,67,2018-04-08,17
2018,68,2018-04-10,13
2019,1,2018-10-16,27
2019,2,2018-10-19,38
2019,3,2018-10-21,20
2019,4,2018-10-22,22
2019,5,2018-10-24,30
2019,6,2018-10-26,41
2019,7,2018-10-28,34
2019,8,2018-10-29,14
2019,9,2018-10-31,24
2019,10,2018-11-02,33
2019,11,2018-11-05,22
2019,12,2018-11-08,17
2019,13,2018-11-10,28
2019,14,2018-11-12,33
2019,15,2018-11-13,29
2019,16,2018-11-15,20
2019,17,2018-11-17,32
2019,18,2018-11-18,26
2019,19,2018-11-21,27
2019,20,2018-11-23,32
2019,21,2018-11-24,44
2019,22,2018-11-26,49
2019,23,2018-11-29,51
2019,24,2018-12-01,28
2019,25,2018-12-03,28
2019,26,2018-12-05,25
2019,27,2018-12-07,11
2019,28,2018-12-10,22
2019,29,2018-12-12,30
2019,30,2018-12-14,33
2019,31,2018-12-17,23
2019,32,2018-12-19,30
2019,33,2018-12-22,29
2019,34,2018-12-23,35
2019,35,2018-12-25,21
2019,36,2018-12-27,26
2019,37,2018-12-29,25
2019,38,2018-12-31,25
2019,39,2019-01-03,26
2019,40,2019-01-05,29
2019,41,2019-01-08,24
2019,42,2019-01-11,22
2019,43,2019-01-13,28
2019,44,2019-01-15,27
2019,45,2019-01-16,30
2019,46,2019-01-18,24
2019,47,2019-01-21,20
2019,48,2019-01-24,21
2019,49,2019-01-26,33
2019,50,2019-01-28,16
2019,51,2019-01-31,25
2019,52,2019-02-02,21
2019,53,2019-02-06,23
2019,54,2019-02-08,21
2019,55,2019-02-10,39
2019,56,2019-02-12,28
2019,57,2019-02-13,32
2019,58,2019-02-21,28
2019,59,2019-02-23,29
2019,60,2019-02-25,20
2019,61,2019-02-27,29
2019,62,2019-03-02,34
2019,63,2019-03-05,18
2019,64,2019-03-08,26
2019,65,2019-03-10,25
2019,66,2019-03-18,24
2019,67,2019-03-19,17
2019,68,2019-03-21,15
2019,69,2019-03-23,25
2019,70,2019-03-24,14
2019,71,2019-03-27,28
2019,72,2019-03-29,23
2019,73,2019-03-31,11
2019,74,2019-04-02,21
2019,75,2019-04-04,15
2019,76,2019-04-05,15
2019,77,2019-04-07,16
2019,78,2019-04-10,21
2021,1,2020-12-22,22
2021,2,2020-12-25,29
2021,3,2020-12-27,29
2021,4,2020-12-30,33
2021,5,2021-01-01,28
2021,6,2021-01-03,28
2021,7,2021-01-10,36
2021,8,2021-01-12,34
2021,9,2021-01-13,26
2021,10,2021-01-16,42
2021,11,2021-01-18,30
2021,12,2021-01-20,38
2021,13,2021-01-23,31
2021,14,2021-01-25,20
2021,15,2021-01-27,32
2021,16,2021-01-31,37
2021,17,2021-02-02,28
2021,18,2021-02-05,8
2021,19,2021-02-13,20
2021,20,2021-04-07,17
2021,21,2021-04-10,22
2021,22,2021-04-13,31
2021,23,2021-04-16,25
2021,24,2021-04-18,8
2021,25,2021-04-25,33
2021,26,2021-04-27,17
2021,27,2021-04-29,42
2021,28,2021-05-02,42
2021,29,2021-05-04,32
2021,30,2021-05-06,20
2021,31,2021-05-08,33
2021,32,2021-05-11,21
2021,33,2021-05-12,14
2021,34,2021-05-15,12
2021,35,2021-05-16,23
2022,1,2021-10-19,32
2022,2,2021-10-22,29
2022,3,2021-10-24,38
2022,4,2021-10-25,25
2022,5,2021-10-27,25
2022,6,2021-10-29,22
2022,7,2021-10-31,23
2022,8,2021-11-03,32
2022,9,2021-11-05,29
2022,10,2021-11-07,31
2022,11,2021-11-08,38
2022,12,2021-11-10,30
2022,13,2021-11-12,28
2022,14,2021-11-14,33
2022,15,2021-11-16,19
2022,16,2021-11-17,23
2022,17,2021-11-22,27
2022,18,2021-11-24,21
2022,19,2021-11-27,39
2022,20,2021-11-30,27
2022,21,2021-12-03,30
2022,22,2021-12-04,28
2022,23,2021-12-07,24
2022,24,2021-12-10,31
2022,25,2021-12-12,51
2022,26,2021-12-14,34
2022,27,2021-12-16,34
2022,28,2021-12-30,33
2022,29,2022-01-01,28
2022,30,2022-01-03,26
2022,31,2022-01-05,39
2022,32,2022-01-07,29
2022,33,2022-01-09,28
2022,34,2022-01-10,28
2022,35,2022-01-12,27
2022,36,2022-01-15,12
2022,37,2022-03-03,31
2022,38,2022-03-06,37
2022,39,2022-03-08,14
2022,40,2022-03-10,25
2022,41,2022-03-13,53
2022,42,2022-03-15,19
2022,43,2022-03-16,23
2022,44,2022-03-18,38
2022,45,2022-03-21,37
2022,46,2022-03-23,35
2022,47,2022-03-26,23
2022,48,2022-03-27,27
2022,49,2022-03-29,41
2022,50,2022-03-31,26
2022,51,2022-04-02,55
2022,52,2022-04-05,18
2022,53,2022-04-06,32
2022,54,2022-04-08,36
2022,55,2022-04-10,20
2023,1,2022-10-19,32
2023,2,2022-10-21,27
2023,3,2022-10-24,37
2023,4,2022-10-26,33
2023,5,2022-10-27,37
2023,6,2022-10-29,26
2023,7,2022-10-31,36
2023,8,2022-11-01,32
2023,9,2022-11-04,28
2023,10,2022-11-05,27
2023,11,2022-11-07,26
2023,12,2022-11-09,29
2023,13,2022-11-12,27
2023,14,2022-11-13,31
2023,15,2022-11-15,27
2023,16,2022-11-17,35
2023,17,2022-11-20,26
2023,18,2022-11-22,20
2023,19,2022-11-23,12
2023,20,2022-11-25,36
2023,21,2022-11-27,31
2023,22,2022-11-28,45
2023,23,2022-11-30,39
2023,24,2022-12-02,17
2023,25,2022-12-04,31
2023,26,2022-12-07,29
2023,27,2022-12-09,34
2023,28,2022-12-12,30
2023,29,2022-12-16,28
2023,30,2022-12-18,43
2023,31,2022-12-21,23
2023,32,2022-12-23,24
2023,33,2022-12-26,32
2023,34,2022-12-28,26
